Термин;Определение
Аварийная вентиляция;— Регулируемый (управляемый) воздухообмен в помещении, обеспечивающий предотвращение увеличения до опасных значений концентраций горючих газов, паров и пыли при их внезапном поступлении в защищаемое помещение. п. 3.1 СП 60.13330.2012[16]
Аварийная ситуация;— Ситуация, характеризующаяся вероятностью возникновения аварии с возможностью дальнейшего ее развития. п. 3.1 СП 12.13130.2009[14]
Аварийная ситуация;— Ситуация, когда произошла авария и возможен дальнейший ход ее развития. п. 3.2 СП 326.1311500.2017 [30]
Аварийный выход;— Дверь, люк или иной выход, которые ведут на путь эвакуации, непосредственно наружу или в безопасную зону, используются как дополнительный выход для спасания людей, но не учитываются при оценке соответствия необходимого количества и размеров эвакуационных путей и эвакуационных выходов и которые удовлетворяют требованиям безопасной эвакуации людей при пожаре. ст. 2 п. 1 ФЗ-123[1]
Аварийный выход;— Дверь, люк или иной выход, которые ведут на путь эвакуации, непосредственно наружу или в безопасную зону, используются как дополнительный выход для спасания людей, но не учитываются при оценке соответствия необходимого числа и размеров эвакуационных путей и эвакуационных выходов, и которые удовлетворяют требованиям безопасной эвакуации людей при пожаре. п. 3.1 ГОСТ Р 12.2.143-2009 [88]
Аварийный пролив топлива;— Топливо, поступившее из оборудования в окружающее пространство в результате аварийной разгерметизации указанного оборудования и/или нарушения требований к эксплуатации АЗС. п. 3.2 СП 156.13130.2014[21]
Аварийный расход газа по трубопроводу;— Расход газа по трубопроводу при аварийной разгерметизации оборудования технологической системы. п. 3.1 СП 156.13130.2014[21]
Авариное освещение;— Освещение на путях эвакуации, имеющее электропитание от автономных источников, функционирующих при пожаре, аварии и других чрезвычайных ситуациях, включаемое автоматически при срабатывании соответствующей сигнализации или вручную, если сигнализации нет или она не сработала. ст. 2 п. 1 ГОСТ Р 12.2.143-2009 [2]
Авария;— Разрушение сооружений и/или технических устройств, применяемых на опасном производственном объекте, неконтролируемый взрыв и/или выброс опасных веществ. п. 3.1 СП 326.1311500.2017 [30]
Авария;— Опасное техногенное происшествие, создающее на объекте, определенной территории или акватории угрозу жизни и здоровью людей и приводящее к разрушению или повреждению зданий, сооружений, оборудования и транспортных средств, нарушению производственного или транспортного процесса, нанесению ущерба окружающей среде. ст. 2 п. 2 ГОСТ Р 12.2.143-2009 [2]
Автоматическая установка аэрозольного пожаротушения;— Установка пожаротушения, использующая аэрозолеобразующие огнетушащие составы, и автоматически срабатывающая при превышении контролируемым фактором (факторами) пожара установленных пороговых значений в защищаемой зоне. п. 3.3 ГОСТ Р 53284-2009 [42]
Автоматическая установка газового пожаротушения;— Совокупность стационарных технических средств для тушения очагов пожара за счет автоматического выпуска газового огнетушащего вещества. п. 3.1 ГОСТ Р 53280.3-2009 [55]
Автоматическая установка газопорошкового пожаротушения ;— Установка пожаротушения, автоматически срабатывающая при превышении контролируемым фактором (факторами) пожара установленных пороговых значений в защищаемой зоне с применением газопорошкового огнетушащего вещества. п. 3.1 СП 155.13130.2014[20]
Автоматическая установка пожаротушения;—Установка пожаротушения, автоматически срабатывающая при превышении контролируемым фактором (факторами) пожара установленных пороговых значений в защищаемой зоне. п. 3.1.1 ГОСТ Р 51091-97 [37]
Автоматическая установка пожаротушения;— Установка пожаротушения, автоматически срабатывающая при превышении контролируемым фактором (факторами) пожара установленных пороговых значений в защищаемой зоне. п. 3.1 ГОСТ Р 53286-2009 [43]
Автоматическая установка пожаротушения (АУП);— Установка пожаротушения, автоматически срабатывающая при превышении контролируемым фактором (факторами) пожара установленных пороговых значений в защищаемой зоне. п. 3.2 СП 5.13130.2009[7]
Автоматическая установка пожаротушения (АУП);— Установка пожаротушения, автоматически срабатывающая при превышении контролируемым фактором (факторами) пожара установленных пороговых значений в защищаемой зоне. п. 3.1 СП 241.1311500.2015 [26]
Автоматический водопитатель;— водопитатель, обеспечивающий расчетный расход и напор для установок водяного и пенного пожаротушения до включения основного водопитателя. гл. 3 ГОСТ Р 50680-94 [32]
Автоматический пожарный извещатель;— Пожарный извещатель, реагирующий на факторы, сопутствующие пожару. п. 3.4 СП 5.13130.2009[7]
Автоматическое управление;— Приведение в действие системы оповещения и управления эвакуацией людей командным сигналом от автоматических установок пожарной сигнализации или пожаротушения. п. 2.1 СП 3.13130.2009[5]
Автомобильная газозаправочная станция с одностенными резервуарами;— Автомобильная газозаправочная станция, технологическая система которой не обеспечивает возможность безопасного перекрытия любой вероятной утечки СУГ или его паров из резервуаров и трубопроводов в окружающую среду, предотвращающего выход за территорию АЗС газопаровоздушных смесей с концентрацией указанных паров более 20% от нижнего концентрационного предела распространения пламени с частотой выше одной миллионной в год. п. 3.3 СП 156.13130.2014[21]
Автомобильная заправочная станция, выполненная как самостоятельный участок АЗС;— АЗС одного вида топлива, технологическая система которой отвечает требованиям к самостоятельному участку многотопливной АЗС с этим видом топлива, а требования к ее размещению, включая размещение зданий и сооружений сервисного обслуживания для водителей, пассажиров и их транспортных средств на территории этой АЗС, аналогичны требованиям к размещению многотопливной АЗС. п. 3.4 СП 156.13130.2014[21]
Автономная установка пожаротушения;— Установка пожаротушения, автоматически осуществляющая функции обнаружения и тушения пожара независимо от внешних источников питания и систем управления. п. 3.5 СП 5.13130.2009[7]
Автономный пожарный извещатель;— Пожарный извещатель, реагирующий на определенный уровень концентрации аэрозольных продуктов горения (пиролиза) веществ и материалов и, возможно, других факторов пожара, в корпусе которого конструктивно объединены автономный источник питания и все компоненты, необходимые для обнаружения пожара и непосредственного оповещения о нем. п. 3.6 СП 5.13130.2009[7]
